geometry/type,geometry/coordinates/0,geometry/coordinates/1,type,properties/state,properties/code,properties/name,properties/zone,properties/address,geometry
Point,77.21298975,15.16697376,Feature,Andhra Pradesh,BNL,BEVINAHALU,SCR,"Rayalaseema Region, Andhra Pradesh",
,,,Feature,,VMC,VMC,,,
Point,70.408254,20.896131999999998,Feature,Gujarat,SMNH,SOMNATH,WR,"Somnath, Gujarat",
Point,79.766287,11.715119,Feature,Tamil Nadu,CUPJ,CUDDALORE PORT,SR,"Cuddalore Township, Tamil Nadu",
Point,73.072387,21.921578,Feature,,PLJ,PALEJ,,,
Point,72.00004,25.891938,Feature,Rajasthan,GOLE,GOLE,NWR,"National Highway 112, Rajasthan",
,,,Feature,,BDX,BDX,,,
Point,79.91803499999999,21.415039,Feature,,TRO,TIRORA,,,
Point,83.564842,21.874971000000002,Feature,,JMG,JAMGA,,,
,,,Feature,,JMSY,JMSY,,,
Point,83.824844,26.468381,Feature,,AHLR,AHALYAPUR,,,
Point,80.640413,16.242409000000002,Feature,,TEL,TENALI JN,,,
Point,78.37926300000001,13.707414,Feature,Andhra Pradesh,TAT,Tummanamgutta,SCR,"Chennai - Anantpur Rd, Andhra Pradesh",
Point,81.690558,16.965076999999997,Feature,,CU,CHAGALLU,,,
Point,81.700939,16.99331,Feature,,PSDA,PASIVEDALA,,,
Point,72.59376099999999,25.208689,Feature,Rajasthan,MBGA,Marwar Bagra,NWR,"SH 31, Rajasthan",
Point,72.336284,25.827638,Feature,Rajasthan,JNE,JANIYANA,NWR,"State Highway 68, Rajasthan",
Point,72.57300699999999,25.837202,Feature,Rajasthan,SMR,SAMDHARI JN,NWR,"Barmer, Rajasthan",
Point,72.951414,25.970783,Feature,Rajasthan,SUT,SUTLANA,NWR,"Dundara, Rajasthan",
Point,69.615506,21.643597999999997,Feature,Gujarat,PBR,PORBANDAR,WR,"Porbandar, Gujarat",
Point,76.2025684888,14.137920273699999,Feature,Karnataka,CKVD,Chikkandawadi,SWR,"Chikkandawadi, Karnataka",
Point,75.712919,27.105646,Feature,Rajasthan,BHG,Bhaton Ki Gali,NWR,"Chomun, Rajasthan",
Point,74.33120188303292,29.574220545495677,Feature,Rajasthan,HMO,Hanumangarh Town,NWR,"Hanumangarh, Rajasthan",
Point,83.494054,26.700858999999998,Feature,,SANR,SARDARNAGAR,,,
Point,86.3146452,24.182255899999998,Feature,Jharkhand,GRD,Giridih,ER,"Giridih, Jharkhand",
Point,83.545894,26.673882,Feature,,CC,CHAURI CHAURA,,,
Point,79.5158922174,18.023547297,Feature,,KMPT,KOMATIPALLI,,,
Point,79.50184999999999,18.078262,Feature,,HSP,HASANPARTHI RD,,,
Point,70.734877,25.741083,Feature,Rajasthan,GGY,Gagariya,NWR,"State Highway 40, Rajasthan",
Point,83.969786,26.353209,Feature,,NNPR,NONAPAR,,,
Point,84.151979,26.240309,Feature,,MW,MAIRWA,,,
Point,77.3893135876,11.1440279246,Feature,,KUY,TIRUPPUR KULIPALAYAM,,,
Point,76.559421,10.800415,Feature,,PLL,PARLI,,,
Point,91.278481,23.792417,Feature,Tripura,AGTL,Agartala,NFR,"Agartala, Tripura",
Point,76.500232,10.771526,Feature,,MNY,MANKARAI,,,
Point,76.434467,10.753217,Feature,,LDY,LAKKITI,,,
Point,76.398385813,10.7525187905,Feature,,PLPM,PALAPPURAM,,,
Point,76.377993,10.770046,Feature,,OTP,OTTAPPALAM,,,
Point,76.323555,10.749322,Feature,,MNUR,MANNANUR,,,
Point,84.256142,26.220819,Feature,,ZRDE,JIRADEI,,,
Point,84.359267,26.210724000000003,Feature,,SV,SIWAN JN,,,
Point,84.415667,26.162627999999998,Feature,,PCK,PACHRUKHI,,,
Point,84.45894600000001,26.086973,Feature,,DDA,DURAUNDHA JN,,,
Point,84.49649600000001,26.022117,Feature,,CW,CHAINWA,,,
Point,71.923129,26.930571,Feature,Rajasthan,POK,POKRAN,NWR,"National Highway 15, Rajasthan",
Point,71.718687,26.972848,Feature,Rajasthan,OCH,ODHANIYA CHACHA,NWR,"National Highway 15, Rajasthan",
Point,84.53637,25.967099,Feature,,EKMA,EKMA,,,
Point,84.591425,25.90709,Feature,,DDP,DAUDPUR,,,
Point,84.65281399999999,25.851866,Feature,,KPS,KOPA SAMHOTA,,,
Point,85.29179,25.817069,Feature,,BTHL,BITHAULI,,,
Point,83.667801,26.594934000000002,Feature,,GB,GAURI BAZAR,,,
Point,83.7385572,26.5526634,Feature,,BALR,BAITALPUR,,,
Point,83.7819590961,26.5076811676,Feature,,DEOS,DEORIA SADAR,,,
Point,83.880179,26.425483,Feature,,NRA,NUNKHAR,,,
Point,89.786242,26.225947,Feature,,AGMN,Agomoni,,,
Point,72.93723505,19.14200998,Feature,,BND,BHANDUP,,,
Point,74.858025,31.631511999999997,Feature,,ASR,AMRITSAR JN,,,
Point,76.271415,10.705843,Feature,,MUC,MULLURKARA,,,
Point,76.237041,10.648956,Feature,,WKI,WADAKANCHERI,,,
Point,73.90724800000001,29.324152,Feature,Rajasthan,SOG,SURATGARH JN,NWR,"National Highway 15, Rajasthan",
Point,80.094149,21.079845,Feature,Maharashtra,SNV,Sondad,SECR,"National Highway 6, Maharashtra",
Point,75.000562,28.125576,Feature,Rajasthan,QMRS,Kayamsar,NWR,"State Highway 41, Rajasthan",
Point,75.758306,16.878268000000002,Feature,Karnataka,AYB,Aliyabad,SWR,"Bijapur, Karnataka",
Point,70.276543,25.742614,Feature,Rajasthan,MBF,Munabao,NWR,"Barmer, Rajasthan",
Point,85.827112,21.243022,Feature,Orissa,CLDR,Chilikidara,ECoR,"Orissa, Orissa",
Point,72.95507400000001,27.835319,Feature,Rajasthan,KLYT,Kolayat,NWR,"Kolayat, Rajasthan",
Point,88.798213,26.882215,Feature,West Bengal,CLD,CHALSA JN,NFR,"Chalsa, West Bengal",
Point,88.9704,26.880279,Feature,West Bengal,CRX,CARRON,NFR,"National Highway 31C, West Bengal",
Point,77.774856,22.61521,Feature,,ETF,ITARSI F CABIN,,,
Point,86.953082,24.404224,Feature,Jharkhand,CNPI,Chandanpahari,ER,"Chandanpahari, Jharkhand",
Point,77.647526,22.828141000000002,Feature,,MIG,MIDGHAT,,,
Point,79.575956,23.848205999999998,Feature,,BNU,BANDAKPUR,,,
Point,75.599508,27.293803,Feature,Rajasthan,COD,Chhota Gudha,NWR,"Ringas, Rajasthan",
Point,77.638968,22.864326000000002,Feature,,CHQ,CHOKA,,,
Point,78.765801,28.831621000000002,Feature,,MB,MORADABAD,,,
Point,76.85285999999999,29.291379,Feature,Haryana,IRA,ISRANA,NR,"Israna, Haryana",
Point,73.132981,22.380046,Feature,,KRCA,KARACHIYA YARD,,,
Point,73.1431251,22.3662226,Feature,,BJW,BAJVA,,,
Point,79.718347,11.332713,Feature,Tamil Nadu,CLN,KOLLIDAM,SR,"Vallampadugai, Tamil Nadu",
,,,Feature,,OSHI,OSHI,,,
Point,74.629979,24.939557999999998,Feature,Rajasthan,CNA,CHANDERIYA,WR,"Chittorgarh, Rajasthan",
